Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
Zach Collins,2017,"C,PF",Bigs,2.61,3
Bam Adebayo,2017,"C,PF",Bigs,1.55,7
Justin Patton,2017,C,Bigs,4.26,0
T.J. Leaf,2017,"PF,C",Bigs,4.02,0
Harry Giles,2017,"C,PF",Bigs,1.47,3
Jarrett Allen,2017,C,Bigs,2.06,7
Tony Bradley,2017,C,Bigs,4.06,0
Ivan Rabb,2017,"PF,C",Bigs,1.03,0
Jordan Bell,2017,C,Bigs,2.5,0
Thomas Bryant,2017,C,Bigs,3.19,3
Ike Anigbogu,2017,C,Bigs,4.03,0
Deandre Ayton,2018,C,Bigs,3.46,5
Marvin Bagley III,2018,"C,PF",Bigs,3.68,3
Jaren Jackson Jr.,2018,"C,PF",Bigs,4.91,7
Mo Bamba,2018,C,Bigs,3.66,3
Wendell Carter Jr.,2018,"C,PF",Bigs,4.2,5
Moritz Wagner,2018,C,Bigs,1.44,3
Robert Williams,2018,C,Bigs,2.13,3
Omari Spellman,2018,"C,PF",Bigs,0.68,0
Chimezie Metu,2018,"C,PF",Bigs,0.36,0
Ray Spalding,2018,"PF,C",Bigs,2.09,0
Jaxson Hayes,2019,C,Bigs,3.36,3
Mfiondu Kabengele,2019,"PF,C",Bigs,1.07,0
Nic Claxton,2019,C,Bigs,0.83,5
Bruno Fernando,2019,C,Bigs,2.74,0
Daniel Gafford,2019,"C,PF",Bigs,1.4,5
Lavoy Allen,2011,"PF,C",Bigs,1.43,0
Bol Bol,2019,"PF,C",Bigs,3.34,3
Onyeka Okongwu,2020,C,Bigs,2.93,5
Dewan Hernandez,2019,C,Bigs,0.18,0
James Wiseman,2020,C,Bigs,4.31,0
Alex Oriakhi,2013,C,Bigs,1.55,0
Vernon Macklin,2011,C,Bigs,0.35,0
Jalen Smith,2020,"C,PF",Bigs,3.83,0
Josh Harrellson,2011,"C,PF",Bigs,1.78,0
Domantas Sabonis,2016,"C,PF",Bigs,1.53,7
Mitch McGary,2014,"PF,C",Bigs,0.69,0
Isaiah Stewart,2020,"C,PF",Bigs,4.01,3
Precious Achiuwa,2020,"C,PF",Bigs,1.07,3
Jonah Bolden,2017,"C,PF",Bigs,0.93,0
Zeke Nnaji,2020,"PF,C",Bigs,2.9,3
Udoka Azubuike,2020,C,Bigs,3.43,0
Daniel Oturu,2020,C,Bigs,1.39,0
